X,Y,Name,description,altitudeMode,sta,Field1,lon,staname,elev,lat,net,FID,Field_1
-155.2971,58.381,"b'Katmai Valley of 10,000 Smokes, Alaska'",,clampToGround,b'KVT',274,-155.2971,"b'Katmai Valley of 10,000 Smokes, Alaska'",0.457,58.381,"b'AV, Katmai, mag'",202,"b'Katmai Valley of 10,000 Smokes, Alaska'"
167.613,8.8019,"b'Kwajalein Atoll, Pacific Ocean'",,clampToGround,b'KWAJ',275,167.613,"b'Kwajalein Atoll, Pacific Ocean'",0,8.8019,b'II',203,"b'Kwajalein Atoll, Pacific Ocean'"
-162.6829,61.3416,"b'Kuka Creek, AK, USA'",,clampToGround,b'L14K',276,-162.6829,"b'Kuka Creek, AK, USA'",0.041,61.3416,"b'AK, mag'",204,"b'Kuka Creek, AK, USA'"
-159.4747,61.7105,"b'Owhat River, AK, USA'",,clampToGround,b'L16K',277,-159.4747,"b'Owhat River, AK, USA'",0.227,61.7105,"b'AK, mag'",205,"b'Owhat River, AK, USA'"
-156.6886,62.2195,"b'Granite Mountain, AK, USA'",,clampToGround,b'L18K',279,-156.6886,"b'Granite Mountain, AK, USA'",0.329,62.2195,"b'AK, mag'",207,"b'Granite Mountain, AK, USA'"
-154.8543,62.1816,"b'White Mountain, AK, USA'",,clampToGround,b'L19K',280,-154.8543,"b'White Mountain, AK, USA'",0.65,62.1816,"b'mag, AK'",208,"b'White Mountain, AK, USA'"
-153.8798,62.4787,"b'Farewell, AK, USA'",,clampToGround,b'L20K',281,-153.8798,"b'Farewell, AK, USA'",0.673,62.4787,"b'mag, AK'",209,"b'Farewell, AK, USA'"
-150.7703,62.5258,"b'Petersville, AK, USA'",,clampToGround,b'L22K',282,-150.7703,"b'Petersville, AK, USA'",0.817,62.5258,"b'AK, mag'",210,"b'Petersville, AK, USA'"
-143.3478,63.0254,"b'Log Cabin Wilderness Lodge, Tok, AK, USA'",,clampToGround,b'L26K',283,-143.3478,"b'Log Cabin Wilderness Lodge, Tok, AK, USA'",0.65,63.0254,"b'AK, mag'",211,"b'Log Cabin Wilderness Lodge, Tok, AK, USA'"
-70.7004,-29.011,"b'Las Campanas Astronomical Observatory, Chile'",,clampToGround,b'LCO',285,-70.7004,"b'Las Campanas Astronomical Observatory, Chile'",2.3,-29.011,b'IU',213,"b'Las Campanas Astronomical Observatory, Chile'"
-141.0048,60.824,"b'Logan Glacier, AK, USA'",,clampToGround,b'LOGN',286,-141.0048,"b'Logan Glacier, AK, USA'",1.6631,60.824,"b'AK, Steep, mag'",214,"b'Logan Glacier, AK, USA'"
91.127,29.7031,"b'Tibet, China'",,clampToGround,b'LSA',287,91.127,"b'Tibet, China'",3.66,29.7031,b'IC',215,"b'Tibet, China'"
178.567,51.932,"b'Southeast, Little Sitkin Volcano, Alaska'",,clampToGround,b'LSSE',291,178.567,"b'Southeast, Little Sitkin Volcano, Alaska'",0.335,51.932,"b'LtlStkn, AV, mag'",216,"b'Southeast, Little Sitkin Volcano, Alaska'"
28.1882,-15.2779,"b'Lusaka, Zambia'",,clampToGround,b'LSZ',292,28.1882,"b'Lusaka, Zambia'",1.2,-15.2779,b'IU',217,"b'Lusaka, Zambia'"
34.6514,67.8979,"b'Lovozero, Russia'",,clampToGround,b'LVZ',295,34.6514,"b'Lovozero, Russia'",0.63,67.8979,b'II',219,"b'Lovozero, Russia'"
-166.2011,60.3849,"b'Mekoryuk, AK, USA'",,clampToGround,b'M11K',296,-166.2011,"b'Mekoryuk, AK, USA'",0.003,60.3849,"b'AK, mag'",220,"b'Mekoryuk, AK, USA'"
-161.96,60.7515,"b'Bethel, AK, USA'",,clampToGround,b'M14K',297,-161.96,"b'Bethel, AK, USA'",0.019,60.7515,"b'AK, mag'",221,"b'Bethel, AK, USA'"
-158.9593,61.0224,"b'Timber Creek, AK, USA'",,clampToGround,b'M16K',298,-158.9593,"b'Timber Creek, AK, USA'",0.394,61.0224,"b'mag, AK'",222,"b'Timber Creek, AK, USA'"
-154.3915,61.9037,"b'Big River Lodge, Big River, AK, USA'",,clampToGround,b'M19K',299,-154.3915,"b'Big River Lodge, Big River, AK, USA'",0.521,61.9037,"b'mag, AK'",223,"b'Big River Lodge, Big River, AK, USA'"
-147.7262,61.7929,"b'Glacier View, AK, USA'",,clampToGround,b'M23K',301,-147.7262,"b'Glacier View, AK, USA'",0.583,61.7929,"b'AK, mag'",225,"b'Glacier View, AK, USA'"
-142.9963,62.4013,"b'Nabesna, AK, USA'",,clampToGround,b'M26K',302,-142.9963,"b'Nabesna, AK, USA'",0.888,62.4013,"b'AK, mag'",226,"b'Nabesna, AK, USA'"
-141.878,62.3579,"b'Edge Creek, AK, USA'",,clampToGround,b'M27K',303,-141.878,"b'Edge Creek, AK, USA'",1.536,62.3579,"b'AK, mag'",227,"b'Edge Creek, AK, USA'"
150.77,59.5756,"b'Magadan, Russia'",,clampToGround,b'MA2',304,150.77,"b'Magadan, Russia'",0.339,59.5756,b'IU',228,"b'Magadan, Russia'"
138.2041,36.5457,"b'Matsushiro, Japan'",,clampToGround,b'MAJO',305,138.2041,"b'Matsushiro, Japan'",0.405,36.5457,b'IU',229,"b'Matsushiro, Japan'"
-166.9407,53.8082,"b'Pakushin Southeast, Makushin Volcano, Alaska'",,clampToGround,b'MAPS',307,-166.9407,"b'Pakushin Southeast, Makushin Volcano, Alaska'",0.333,53.8082,"b'AV, mag, Makshn'",231,"b'Pakushin Southeast, Makushin Volcano, Alaska'"
-135.8921,63.5958,"b'Mayo, Yukon, CANADA'",,clampToGround,b'MAYO',308,-135.8921,"b'Mayo, Yukon, CANADA'",0,63.5958,b'NY',232,"b'Mayo, Yukon, CANADA'"
30.7382,-0.6019,"b'Mbarara, Uganda'",,clampToGround,b'MBAR',309,30.7382,"b'Mbarara, Uganda'",1.39,-0.6019,b'II',233,"b'Mbarara, Uganda'"
119.7313,-21.159,"b'Marble Bar, Western Australia'",,clampToGround,b'MBWA',310,119.7313,"b'Marble Bar, Western Australia'",0.19,-21.159,b'IU',234,"b'Marble Bar, Western Australia'"
-143.024,61.3836,"b'McCarthy VSAT, AK, USA'",,clampToGround,b'MCAR',311,-143.024,"b'McCarthy VSAT, AK, USA'",0.447,61.3836,"b'AK, Steep, mag'",235,"b'McCarthy VSAT, AK, USA'"
158.9561,-54.4986,"b'Macquarie Island, Australia'",,clampToGround,b'MCQ',314,158.9561,"b'Macquarie Island, Australia'",0.014,-54.4986,b'AU',237,"b'Macquarie Island, Australia'"
129.5908,44.617,"b'Mudanjiang, Heilongjiang Province, China'",,clampToGround,b'MDJ',315,129.5908,"b'Mudanjiang, Heilongjiang Province, China'",0.27,44.617,b'IC',238,"b'Mudanjiang, Heilongjiang Province, China'"
-148.2319,64.9602,"b'Murphy Dome, AK, USA'",,clampToGround,b'MDM',316,-148.2319,"b'Murphy Dome, AK, USA'",0.631,64.9602,"b'AK, mag'",239,"b'Murphy Dome, AK, USA'"
-143.7194,62.938,"b'Mentasta, Alaska'",,clampToGround,b'MENT',317,-143.7194,"b'Mentasta, Alaska'",0.702,62.938,"b'AT, mag'",240,"b'Mentasta, Alaska'"
-141.9498,60.1782,"b'Mesa, AK, USA'",,clampToGround,b'MESA',318,-141.9498,"b'Mesa, AK, USA'",1.907,60.1782,"b'AK, Steep, mag'",241,"b'Mesa, AK, USA'"
-150.7442,65.0304,"b'Manley Hot Springs, AK, USA'",,clampToGround,b'MLY',323,-150.7442,"b'Manley Hot Springs, AK, USA'",0.812,65.0304,"b'AK, mag'",243,"b'Manley Hot Springs, AK, USA'"
-131.2625,62.6189,"b'Sheldon Lake, Yukon, CANADA'",,clampToGround,b'MMPY',324,-131.2625,"b'Sheldon Lake, Yukon, CANADA'",0,62.6189,b'NY',244,"b'Sheldon Lake, Yukon, CANADA'"
-131.9663,53.1437,"b'Moresby, BC, CA'",,clampToGround,b'MOBC',326,-131.9663,"b'Moresby, BC, CA'",0.675,53.1437,"b'CN, mag'",245,"b'Moresby, BC, CA'"
55.4792,-4.6737,"b'Mahe, Seychelles'",,clampToGround,b'MSEY',328,55.4792,"b'Mahe, Seychelles'",0.475,-4.6737,b'II',246,"b'Mahe, Seychelles'"
13.6116,-1.6557,"b'Masuku, Gabon'",,clampToGround,b'MSKU',329,13.6116,"b'Masuku, Gabon'",0.312,-1.6557,b'IU',247,"b'Masuku, Gabon'"
-166.6813,53.968,"b'Table Top, Makushin Volcano, Alaska'",,clampToGround,b'MTBL',332,-166.6813,"b'Table Top, Makushin Volcano, Alaska'",0.81,53.968,"b'AV, Makshn, mag'",249,"b'Table Top, Makushin Volcano, Alaska'"
-160.0921,60.1686,"b'Kwethluk River, AK, USA'",,clampToGround,b'N15K',333,-160.0921,"b'Kwethluk River, AK, USA'",0.449,60.1686,"b'mag, AK'",250,"b'Kwethluk River, AK, USA'"
-155.8897,60.6801,"b'Kilae Creek, AK, USA'",,clampToGround,b'N18K',334,-155.8897,"b'Kilae Creek, AK, USA'",0.572,60.6801,"b'mag, AK'",251,"b'Kilae Creek, AK, USA'"
-154.4838,60.8132,"b'Bonanza Creek NPS repeater, AK, USA'",,clampToGround,b'N19K',335,-154.4838,"b'Bonanza Creek NPS repeater, AK, USA'",1.144,60.8132,"b'mag, AK'",252,"b'Bonanza Creek NPS repeater, AK, USA'"
-144.5982,61.6061,"b'Chitina, Valdez-Cordova, AK, USA'",,clampToGround,b'N25K',337,-144.5982,"b'Chitina, Valdez-Cordova, AK, USA'",1.087,61.6061,"b'AV, mag'",253,"b'Chitina, Valdez-Cordova, AK, USA'"
-122.4878,59.7735,b'Northern British Columbia Site Two',,clampToGround,b'NBC2',339,-122.4878,b'Northern British Columbia Site Two',0.486,59.7735,b'mag',255,b'Northern British Columbia Site Two'
-120.6688,59.6372,b'Northern British Columbia Site Three',,clampToGround,b'NBC3',340,-120.6688,b'Northern British Columbia Site Three',0.452,59.6372,b'mag',256,b'Northern British Columbia Site Three'
-132.9417,53.955,"b'Naden, BC, CA'",,clampToGround,b'NDB',342,-132.9417,"b'Naden, BC, CA'",0.686,53.955,"b'CN, stheast, mag'",257,"b'Naden, BC, CA'"
-149.0694,64.5928,"b'Nenana, AK, USA'",,clampToGround,b'NEA2',343,-149.0694,"b'Nenana, AK, USA'",0.45,64.5928,"b'AK, mag'",258,"b'Nenana, AK, USA'"
-143.9713,60.2357,"b'Nichawak Mountain, AK, USA'",,clampToGround,b'NICH',344,-143.9713,"b'Nichawak Mountain, AK, USA'",0.485,60.2357,"b'mag, AK, Steep'",259,"b'Nichawak Mountain, AK, USA'"
73.2686,33.6506,"b'Nilore, Pakistan'",,clampToGround,b'NIL',346,73.2686,"b'Nilore, Pakistan'",0.629,33.6506,b'II',261,"b'Nilore, Pakistan'"
-76.8422,-11.9875,"b'Nana, Peru'",,clampToGround,b'NNA',347,-76.8422,"b'Nana, Peru'",0.575,-11.9875,b'II',262,"b'Nana, Peru'"
88.4414,69.5049,"b'Norilsk, Russia'",,clampToGround,b'NRIL',348,88.4414,"b'Norilsk, Russia'",0.092,69.5049,b'II',263,"b'Norilsk, Russia'"
117.239,-32.9277,"b'Narrogin, Australia'",,clampToGround,b'NWAO',349,117.239,"b'Narrogin, Australia'",0.38,-32.9277,b'IU',264,"b'Narrogin, Australia'"
-161.2638,59.2533,"b'Tigyukauivet Mountain, AK, USA'",,clampToGround,b'O14K',350,-161.2638,"b'Tigyukauivet Mountain, AK, USA'",0.129,59.2533,"b'mag, AK'",265,"b'Tigyukauivet Mountain, AK, USA'"
-154.3201,60.1952,"b'Port Alsworth, AK, USA'",,clampToGround,b'O19K',352,-154.3201,"b'Port Alsworth, AK, USA'",0.096,60.1952,"b'mag, AK'",267,"b'Port Alsworth, AK, USA'"
-152.624,60.0815,"b'Slope Mountain, AK, USA'",,clampToGround,b'O20K',353,-152.624,"b'Slope Mountain, AK, USA'",0.915,60.0815,"b'AK, mag'",268,"b'Slope Mountain, AK, USA'"
-149.7241,60.4814,"b'Cooper Landing, AK, USA'",,clampToGround,b'O22K',354,-149.7241,"b'Cooper Landing, AK, USA'",0.14,60.4814,"b'TA, nomag'",269,"b'Cooper Landing, AK, USA'"
36.5674,55.1146,"b'Obninsk, Russia'",,clampToGround,b'OBN',355,36.5674,"b'Obninsk, Russia'",0.16,55.1146,b'II',270,"b'Obninsk, Russia'"
-153.2875,57.2225,"b'Old Harbor, Alaska'",,clampToGround,b'OHAK',356,-153.2875,"b'Old Harbor, Alaska'",0.0775,57.2225,"b'AT, mag'",271,"b'Old Harbor, Alaska'"
-78.4508,0.2376,"b'Otavalo, Ecuador'",,clampToGround,b'OTAV',364,-78.4508,"b'Otavalo, Ecuador'",3.51,0.2376,b'IU',273,"b'Otavalo, Ecuador'"
-169.5484,56.6011,"b'Saint George Island, AK, USA'",,clampToGround,b'P08K',365,-169.5484,"b'Saint George Island, AK, USA'",0.036,56.6011,"b'AK, mag'",274,"b'Saint George Island, AK, USA'"
-157.9906,59.0314,"b'Nushagak River, AK, USA'",,clampToGround,b'P16K',366,-157.9906,"b'Nushagak River, AK, USA'",0.0859,59.0314,"b'mag, AK'",275,"b'Nushagak River, AK, USA'"
-156.4394,59.1953,"b'Kvichak River, AK, USA'",,clampToGround,b'P17K',367,-156.4394,"b'Kvichak River, AK, USA'",0.091,59.1953,"b'AK, mag'",276,"b'Kvichak River, AK, USA'"
-155.2292,59.3922,"b'Big Mountain, AK, USA'",,clampToGround,b'P18K',368,-155.2292,"b'Big Mountain, AK, USA'",0.68,59.3922,"b'AV, mag'",277,"b'Big Mountain, AK, USA'"
-147.4031,59.9979,"b'Montague Island, AK, USA'",,clampToGround,b'P23K',370,-147.4031,"b'Montague Island, AK, USA'",0.287,59.9979,"b'nomag, AK'",279,"b'Montague Island, AK, USA'"
-4.3499,39.5446,"b'San Pablo, Spain'",,clampToGround,b'PAB',371,-4.3499,"b'San Pablo, Spain'",0.95,39.5446,b'IU',280,"b'San Pablo, Spain'"
80.7022,7.2728,"b'Pallekele, Sri Lanka'",,clampToGround,b'PALK',372,80.7022,"b'Pallekele, Sri Lanka'",0.46,7.2728,b'II',281,"b'Pallekele, Sri Lanka'"
-145.4699,62.9699,"b'Paxson, AK, USA'",,clampToGround,b'PAX',373,-145.4699,"b'Paxson, AK, USA'",1.15,62.9699,"b'AK, mag, CREST'",282,"b'Paxson, AK, USA'"
-90.2861,-0.6742,"b'Puerto Ayora, Galapagos Islands'",,clampToGround,b'PAYG',374,-90.2861,"b'Puerto Ayora, Galapagos Islands'",0.27,-0.6742,b'IU',283,"b'Puerto Ayora, Galapagos Islands'"
158.6499,53.0233,"b'Petropavlovsk, Russia'",,clampToGround,b'PET',376,158.6499,"b'Petropavlovsk, Russia'",0.11,53.0233,b'IU',285,"b'Petropavlovsk, Russia'"
-116.4555,33.6107,"b'Pinon Flat, California, USA'",,clampToGround,b'PFO',377,-116.4555,"b'Pinon Flat, California, USA'",1.28,33.6107,b'II',286,"b'Pinon Flat, California, USA'"
-127.433,50.7067,"b'Port Hardy, BC, CA'",,clampToGround,b'PHC',378,-127.433,"b'Port Hardy, BC, CA'",0.032,50.7067,b'mag',287,"b'Port Hardy, BC, CA'"
-140.2525,60.0959,"b'Pinnacle, AK, USA'",,clampToGround,b'PIN',379,-140.2525,"b'Pinnacle, AK, USA'",0.975,60.0959,"b'AK, stheast, CREST, mag'",288,"b'Pinnacle, AK, USA'"
-136.3659,59.455,"b'Pleasant Camp, BC, CA'",,clampToGround,b'PLBC',380,-136.3659,"b'Pleasant Camp, BC, CA'",0.279,59.455,"b'CN, nomag'",289,"b'Pleasant Camp, BC, CA'"
-156.2695,57.688,"b'Mt. Peulik Volcano 3, Alaska'",,clampToGround,b'PLK3',384,-156.2695,"b'Mt. Peulik Volcano 3, Alaska'",0.494,57.688,"b'Peulik, AV, mag'",291,"b'Mt. Peulik Volcano 3, Alaska'"
-156.88,57.997,"b'Mt. Peulik Volcano 5, Alaska'",,clampToGround,b'PLK5',385,-156.88,"b'Mt. Peulik Volcano 5, Alaska'",0.049,57.997,"b'Peulik, AV, mag'",292,"b'Mt. Peulik Volcano 5, Alaska'"
147.1597,-9.4047,"b'Port Moresby, New Guinea'",,clampToGround,b'PMG',386,147.1597,"b'Port Moresby, New Guinea'",0.09,-9.4047,b'IU',293,"b'Port Moresby, New Guinea'"
-149.1308,61.5922,"b'Palmer, Alaska'",,clampToGround,b'PMR',387,-149.1308,"b'Palmer, Alaska'",0.1,61.5922,"b'AT, mag'",294,"b'Palmer, Alaska'"
-64.0489,-64.7744,"b'Palmer Station, Antarctica'",,clampToGround,b'PMSA',388,-64.0489,"b'Palmer Station, Antarctica'",0.04,-64.7744,b'IU',295,"b'Palmer Station, Antarctica'"
-155.5326,19.7573,"b'Pohakuloa, Hawaii, USA'",,clampToGround,b'POHA',391,-155.5326,"b'Pohakuloa, Hawaii, USA'",1.99,19.7573,b'IU',297,"b'Pohakuloa, Hawaii, USA'"
-147.4335,65.1171,"b'Poker Flat Research Range, AK, USA'",,clampToGround,b'POKR',392,-147.4335,"b'Poker Flat Research Range, AK, USA'",0.501,65.1171,"b'AK, mag'",298,"b'Poker Flat Research Range, AK, USA'"
-145.5246,65.5174,"b'Porcupine Dome, AK, USA'",,clampToGround,b'PPD',393,-145.5246,"b'Porcupine Dome, AK, USA'",1.505,65.5174,"b'AK, mag'",299,"b'Porcupine Dome, AK, USA'"
-152.1894,62.8962,"b'Purkeypile, AK, USA'",,clampToGround,b'PPLA',394,-152.1894,"b'Purkeypile, AK, USA'",1.519,62.8962,"b'AK, CREST, mag'",300,"b'Purkeypile, AK, USA'"
-148.6141,70.258,"b'TAPS Pump Station 1, AK, USA'",,clampToGround,b'PS01',395,-148.6141,"b'TAPS Pump Station 1, AK, USA'",0.009,70.258,"b'AK, mag'",301,"b'TAPS Pump Station 1, AK, USA'"
-150.6646,66.8133,"b'TAPS Pump Station 5, AK, USA'",,clampToGround,b'PS05',397,-150.6646,"b'TAPS Pump Station 5, AK, USA'",0.327,66.8133,"b'AK, mag'",303,"b'TAPS Pump Station 5, AK, USA'"
-149.7369,65.8545,"b'TAPS Pump Station 6, AK, USA'",,clampToGround,b'PS06',398,-149.7369,"b'TAPS Pump Station 6, AK, USA'",0.28,65.8545,"b'AK, mag'",304,"b'TAPS Pump Station 6, AK, USA'"
-148.2791,65.3106,"b'TAPS Pump Station 7, AK, USA'",,clampToGround,b'PS07',399,-148.2791,"b'TAPS Pump Station 7, AK, USA'",0.289,65.3106,"b'AK, mag'",305,"b'TAPS Pump Station 7, AK, USA'"
-146.8221,64.5422,"b'TAPS Pump Station 8, AK, USA'",,clampToGround,b'PS08',400,-146.8221,"b'TAPS Pump Station 8, AK, USA'",0.32,64.5422,"b'AK, mag'",306,"b'TAPS Pump Station 8, AK, USA'"
-153.6446,58.9287,"b'Cape Douglas, AK, USA'",,clampToGround,b'Q19K',413,-153.6446,"b'Cape Douglas, AK, USA'",0.631,58.9287,"b'mag, AK'",318,"b'Cape Douglas, AK, USA'"
-147.3759,63.0753,"b'Denali Highway, AK, USA'",,clampToGround,b'DHY',119,-147.3759,"b'Denali Highway, AK, USA'",1.611,63.0753,"b'AK, mag'",87,"b'Denali Highway, AK, USA'"
-162.259,55.1448,"b'Dutton Volcano, Alaska'",,clampToGround,b'DTN',126,-162.259,"b'Dutton Volcano, Alaska'",0.396,55.1448,"b'AV, Dutton, mag'",93,"b'Dutton Volcano, Alaska'"
-148.4868,68.0748,"b'Your Creek, AK, USA'",,clampToGround,b'E24K',132,-148.4868,"b'Your Creek, AK, USA'",0.847,68.0748,"b'AK, mag'",99,"b'Your Creek, AK, USA'"
143.1572,42.015,"b'Erimo, Hokkaido Island, Japan'",,clampToGround,b'ERM',138,143.1572,"b'Erimo, Hokkaido Island, Japan'",0.04,42.015,"b'HJ, II'",105,"b'Erimo, Hokkaido Island, Japan'"
-153.483,67.2221,"b'Alatna River, AK, USA'",,clampToGround,b'F21K',145,-153.483,"b'Alatna River, AK, USA'",0.597,67.2221,"b'mag, AK'",111,"b'Alatna River, AK, USA'"
-145.7684,63.4229,"b'TAPS Pump Station 10, AK, USA'",,clampToGround,b'PS10',402,-145.7684,"b'TAPS Pump Station 10, AK, USA'",0.738,63.4229,"b'AK, mag'",308,"b'TAPS Pump Station 10, AK, USA'"
-145.4751,62.0789,"b'TAPS Pump Station 11, AK, USA'",,clampToGround,b'PS11',403,-145.4751,"b'TAPS Pump Station 11, AK, USA'",0.375,62.0789,"b'AK, mag'",309,"b'TAPS Pump Station 11, AK, USA'"
-145.1458,61.4749,"b'TAPS Pump Station 12, AK, USA'",,clampToGround,b'PS12',404,-145.1458,"b'TAPS Pump Station 12, AK, USA'",0.5627,61.4749,"b'AK, mag'",310,"b'TAPS Pump Station 12, AK, USA'"
-161.7437,55.4201,"b'Pavlof South 1A, Pavlof Volcano, Alaska'",,clampToGround,b'PS1A',405,-161.7437,"b'Pavlof South 1A, Pavlof Volcano, Alaska'",0.283,55.4201,"b'AV, Pavlof, mag'",311,"b'Pavlof South 1A, Pavlof Volcano, Alaska'"
-59.9666,-0.7308,"b'Pitinga, Brazil'",,clampToGround,b'PTGA',408,-59.9666,"b'Pitinga, Brazil'",0.237,-0.7308,b'IU',313,"b'Pitinga, Brazil'"
-142.4672,61.1871,"b'Patty Peak Repeater, AK, USA'",,clampToGround,b'PTPK',409,-142.4672,"b'Patty Peak Repeater, AK, USA'",1.8926,61.1871,"b'AK, Steep, mag'",314,"b'Patty Peak Repeater, AK, USA'"
-148.3334,60.8584,"b'Port Wells, AK, USA'",,clampToGround,b'PWL',410,-148.3334,"b'Port Wells, AK, USA'",0.55,60.8584,"b'AK, mag, ARRA'",315,"b'Port Wells, AK, USA'"
-155.8865,58.2637,"b'Contact Creek, Katmai, AK, USA'",,clampToGround,b'Q17K',411,-155.8865,"b'Contact Creek, Katmai, AK, USA'",1.165,58.2637,"b'AV, mag'",316,"b'Contact Creek, Katmai, AK, USA'"
-155.0086,58.6484,"b'Katmai Hardscrabble Creek, AK, USA'",,clampToGround,b'Q18K',412,-155.0086,"b'Katmai Hardscrabble Creek, AK, USA'",1.25,58.6484,"b'mag, AV'",317,"b'Katmai Hardscrabble Creek, AK, USA'"
-146.3399,59.4296,"b'Middleton Island, AK, USA'",,clampToGround,b'Q23K',415,-146.3399,"b'Middleton Island, AK, USA'",0.046,59.4296,"b'AK, nomag'",320,"b'Middleton Island, AK, USA'"
109.8445,19.0291,"b'Qiongzhong, Hainan Province, China'",,clampToGround,b'QIZ',416,109.8445,"b'Qiongzhong, Hainan Province, China'",0.24,19.0291,b'IC',321,"b'Qiongzhong, Hainan Province, China'"
144.4382,-89.9289,b'South Pole Remote Earth Science Observatory (Quiet',,clampToGround,b'QSPA',417,144.4382,b'South Pole Remote Earth Science Observatory (Quiet',2.85,-89.9289,b'IU',322,b'South Pole Remote Earth Science Observatory (Quiet'
-157.5742,57.5673,"b'Pilot Point, AK, USA'",,clampToGround,b'R16K',418,-157.5742,"b'Pilot Point, AK, USA'",0.038,57.5673,"b'AK, mag'",323,"b'Pilot Point, AK, USA'"
